TEMPORAL;OBS_STATUS;TIPOVENTAS;TIPOSERIES;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2004-11;P;02;03;;INDICE;116.010932004;M
2004-11;P;03;03;;INDICE;143.754935883;M
2004-12;P;01;03;;INDICE;215.03690462;M
2004-12;P;02;03;;INDICE;196.852888252;M
2004-12;P;03;03;;INDICE;226.188236451;M
2005-01;P;01;03;;INDICE;155.544594906;M
2005-01;P;02;03;;INDICE;102.101413477;M
2005-01;P;03;03;;INDICE;186.346714423;M
2005-02;P;01;03;;INDICE;105.381732259;M
2005-02;P;02;03;;INDICE;94.552129768;M
2005-02;P;03;03;;INDICE;111.981017985;M
2005-03;P;01;03;;INDICE;121.880784515;M
2005-03;P;02;03;;INDICE;114.452710515;M
2005-03;P;03;03;;INDICE;127.198747712;M
2005-04;P;01;03;;INDICE;125.019151049;M
2005-04;P;02;03;;INDICE;110.322327253;M
2005-04;P;03;03;;INDICE;132.83623578;M
2005-05;P;01;03;;INDICE;124.145520864;M
2005-05;P;02;03;;INDICE;106.939598668;M
2005-05;P;03;03;;INDICE;134.542581834;M
2005-06;P;01;03;;INDICE;130.128272972;M
2005-06;P;02;03;;INDICE;110.690482099;M
2005-06;P;03;03;;INDICE;141.492783535;M
2005-07;P;01;03;;INDICE;152.707159951;M
2005-07;P;02;03;;INDICE;125.721472976;M
2005-07;P;03;03;;INDICE;168.764539607;M
2005-08;P;01;03;;INDICE;132.540268297;M
2005-08;P;02;03;;INDICE;127.969215115;M
2005-08;P;03;03;;INDICE;135.271293157;M
2005-09;P;01;03;;INDICE;126.910234614;M
2005-09;P;02;03;;INDICE;113.410373771;M
2005-09;P;03;03;;INDICE;135.203399719;M
2005-10;P;01;03;;INDICE;135.255130845;M
2005-10;P;02;03;;INDICE;123.536353982;M
2005-10;P;03;03;;INDICE;141.87888478;M
2005-11;P;01;03;;INDICE;131.39233635;M
2005-11;P;02;03;;INDICE;114.434377887;M
2005-11;P;03;03;;INDICE;141.588142384;M
2005-12;P;01;03;;INDICE;219.862030598;M
2005-12;P;02;03;;INDICE;193.237276694;M
2005-12;P;03;03;;INDICE;233.940865775;M
2006-01;P;01;03;;INDICE;161.648460082;M
2006-01;P;02;03;;INDICE;109.775806997;M
2006-01;P;03;03;;INDICE;192.197844863;M
2006-02;P;01;03;;INDICE;106.708629433;M
2006-02;P;02;03;;INDICE;98.25865879;M
2006-02;P;03;03;;INDICE;111.944318263;M
2006-03;P;01;03;;INDICE;121.085941046;M
2006-03;P;02;03;;INDICE;114.981834491;M
2006-03;P;03;03;;INDICE;124.334275072;M
2006-04;P;01;03;;INDICE;124.162113748;M
2006-04;P;02;03;;INDICE;112.364285875;M
2006-04;P;03;03;;INDICE;131.864357782;M
2006-05;P;01;03;;INDICE;127.413620125;M
2006-05;P;02;03;;INDICE;111.913774301;M
2006-05;P;03;03;;INDICE;136.396751294;M
2006-06;P;01;03;;INDICE;126.801670299;M
2006-06;P;02;03;;INDICE;112.5627978;M
2006-06;P;03;03;;INDICE;135.521463975;M
2006-07;P;01;03;;INDICE;156.015040268;M
2006-07;P;02;03;;INDICE;132.317499296;M
2006-07;P;03;03;;INDICE;169.574941537;M
2006-08;P;01;03;;INDICE;139.437434363;M
2006-08;P;02;03;;INDICE;134.506421708;M
2006-08;P;03;03;;INDICE;142.771663018;M
2006-09;P;01;03;;INDICE;127.66752635;M
2006-09;P;02;03;;INDICE;117.110439537;M
2006-09;P;03;03;;INDICE;133.668096142;M
2006-10;P;01;03;;INDICE;130.647317017;M
2006-10;P;02;03;;INDICE;119.908585472;M
2006-10;P;03;03;;INDICE;137.527492544;M
2006-11;P;01;03;;INDICE;134.893040097;M
2006-11;P;02;03;;INDICE;119.684678624;M
2006-11;P;03;03;;INDICE;143.853798974;M
2006-12;P;01;03;;INDICE;221.657562193;M
2006-12;P;02;03;;INDICE;195.695644783;M
2006-12;P;03;03;;INDICE;236.964856048;M
2007-01;P;01;03;;INDICE;156.796898952;M
2007-01;P;02;03;;INDICE;107.72372529;M
2007-01;P;03;03;;INDICE;185.88771482;M
2007-02;P;01;03;;INDICE;108.480680452;M
2007-02;P;02;03;;INDICE;101.003213126;M
2007-02;P;03;03;;INDICE;113.048985815;M
2007-03;P;01;03;;INDICE;130.117841023;M
2007-03;P;02;03;;INDICE;122.16750503;M
2007-03;P;03;03;;INDICE;133.743111044;M
2007-04;P;01;03;;INDICE;123.082551716;M
2007-04;P;02;03;;INDICE;114.233004691;M
2007-04;P;03;03;;INDICE;129.118587853;M
2007-05;P;01;03;;INDICE;129.041280897;M
2007-05;P;02;03;;INDICE;114.304110272;M
2007-05;P;03;03;;INDICE;137.918562192;M
2007-06;P;01;03;;INDICE;129.413845067;M
2007-06;P;02;03;;INDICE;115.715797232;M
2007-06;P;03;03;;INDICE;137.203214102;M
2007-07;P;01;03;;INDICE;161.223718594;M
2007-07;P;02;03;;INDICE;134.912294713;M
2007-07;P;03;03;;INDICE;177.550357403;M
2007-08;P;01;03;;INDICE;139.623603801;M
2007-08;P;02;03;;INDICE;137.860843261;M
2007-08;P;03;03;;INDICE;140.803136989;M
2007-09;P;01;03;;INDICE;129.431139196;M
2007-09;P;02;03;;INDICE;120.034400152;M
2007-09;P;03;03;;INDICE;134.924804195;M
2007-10;P;01;03;;INDICE;130.455405888;M
2007-10;P;02;03;;INDICE;126.189889548;M
2007-10;P;03;03;;INDICE;132.77802554;M
2007-11;P;01;03;;INDICE;137.810134254;M
2007-11;P;02;03;;INDICE;125.320708318;M
2007-11;P;03;03;;INDICE;145.431051225;M
2007-12;P;01;03;;INDICE;232.633062488;M
2007-12;P;02;03;;INDICE;207.901185042;M
2007-12;P;03;03;;INDICE;246.725380133;M
2008-01;P;01;03;;INDICE;157.956798216;M
2008-01;P;02;03;;INDICE;111.499618007;M
2008-01;P;03;03;;INDICE;185.79553789;M
2008-02;P;01;03;;INDICE;108.674284293;M
