D_TEMPORAL_0;D_EDAD_0;D_SEXO_0;D_LUGARNACIMIEN_0;INDICATOR;OBS_VALUE;FREQ
1998;065100;00;14;Andaluces;5621.0534819;A
1998;065100;00;18;Andaluces;4463.9891991;A
1998;065100;00;21;Andaluces;1360.7729633;A
1998;065100;00;23;Andaluces;6838.1685023;A
1998;065100;00;29;Andaluces;2947.316041;A
1998;065100;00;41;Andaluces;2676.297378;A
1998;065100;00;C01;Andaluces;30936.1924823;A
1998;065100;01;04;Andaluces;1375.4524673;A
1998;065100;01;11;Andaluces;488.8110213;A
1998;065100;01;14;Andaluces;1622.0258875;A
1998;065100;01;18;Andaluces;1288.5439418;A
1998;065100;01;21;Andaluces;334.4306272;A
1998;065100;01;23;Andaluces;1961.9276833;A
1998;065100;01;29;Andaluces;791.7492213;A
1998;065100;01;41;Andaluces;753.5173032;A
1998;065100;01;C01;Andaluces;8616.4581529;A
1998;065100;06;04;Andaluces;3704.6905561;A
1998;065100;06;11;Andaluces;1459.640872;A
1998;065100;06;14;Andaluces;3999.0275944;A
1998;065100;06;18;Andaluces;3175.4452573;A
1998;065100;06;21;Andaluces;1026.3423361;A
1998;065100;06;23;Andaluces;4876.240819;A
1998;065100;06;29;Andaluces;2155.5668197;A
1998;065100;06;41;Andaluces;1922.7800748;A
1998;065100;06;C01;Andaluces;22319.7343294;A
1999;00;00;04;Andaluces;140735.5588643;A
1999;00;00;11;Andaluces;131875.6482954;A
1999;00;00;14;Andaluces;303019.3544011;A
1999;00;00;18;Andaluces;288541.6475556;A
1999;00;00;21;Andaluces;61477.8236603;A
1999;00;00;23;Andaluces;379768.8628222;A
1999;00;00;29;Andaluces;149356.8843113;A
1999;00;00;41;Andaluces;213391.8908155;A
1999;00;00;C01;Andaluces;1668167.6707257;A
1999;00;01;04;Andaluces;64502.3008553;A
1999;00;01;11;Andaluces;64059.0043759;A
1999;00;01;14;Andaluces;144843.9625555;A
1999;00;01;18;Andaluces;139046.2091457;A
1999;00;01;21;Andaluces;29101.8572026;A
1999;00;01;23;Andaluces;181261.3674792;A
1999;00;01;29;Andaluces;72096.8558819;A
1999;00;01;41;Andaluces;103537.4281505;A
1999;00;01;C01;Andaluces;798448.9856466;A
1999;00;06;04;Andaluces;76233.258009;A
1999;00;06;11;Andaluces;67816.6439195;A
1999;00;06;14;Andaluces;158175.3918456;A
1999;00;06;18;Andaluces;149495.4384099;A
1999;00;06;21;Andaluces;32375.9664577;A
1999;00;06;23;Andaluces;198507.495343;A
1999;00;06;29;Andaluces;77260.0284294;A
1999;00;06;41;Andaluces;109854.462665;A
1999;00;06;C01;Andaluces;869718.6850791;A
1999;000004;00;04;Andaluces;330.5096289;A
1999;000004;00;11;Andaluces;1163.170948;A
1999;000004;00;14;Andaluces;632.0743391;A
1999;000004;00;18;Andaluces;924.4200614;A
1999;000004;00;21;Andaluces;187.2094632;A
1999;000004;00;23;Andaluces;593.5164209;A
1999;000004;00;29;Andaluces;877.2771642;A
1999;000004;00;41;Andaluces;1164.4328014;A
