TEMPORAL;OBS_STATUS;ICMA_TIPOVENTAS;TERRITORIO;IVGS_SERIEIVGS;INDICATOR;OBS_VALUE;FREQ
2012-03;P;61593;ES61;277796;INDI_ORIG;100.44565468;M
2012-03;P;61594;ES61;277796;INDI_ORIG;100.417588257;M
2012-03;P;61595;ES61;277796;INDI_ORIG;101.025569295;M
2012-04;P;61592;ES61;277796;INDI_ORIG;101.497231031;M
2012-04;P;61593;ES61;277796;INDI_ORIG;99.414988829;M
2012-04;P;61594;ES61;277796;INDI_ORIG;101.481636458;M
2012-04;P;61595;ES61;277796;INDI_ORIG;99.884625341;M
2012-05;P;61592;ES61;277796;INDI_ORIG;100.702190881;M
2012-05;P;61593;ES61;277796;INDI_ORIG;98.613088028;M
2012-05;P;61594;ES61;277796;INDI_ORIG;100.681009707;M
2012-05;P;61595;ES61;277796;INDI_ORIG;97.691548277;M
2012-06;P;61592;ES61;277796;INDI_ORIG;100.201630744;M
2012-06;P;61593;ES61;277796;INDI_ORIG;98.261121062;M
2012-06;P;61594;ES61;277796;INDI_ORIG;101.397854842;M
2012-06;P;61595;ES61;277796;INDI_ORIG;96.602996013;M
2012-07;P;61592;ES61;277796;INDI_ORIG;99.780279819;M
2012-07;P;61593;ES61;277796;INDI_ORIG;97.735628549;M
2012-07;P;61594;ES61;277796;INDI_ORIG;99.502447242;M
2012-07;P;61595;ES61;277796;INDI_ORIG;97.638127431;M
2012-08;P;61592;ES61;277796;INDI_ORIG;100.842784209;M
2012-08;P;61593;ES61;277796;INDI_ORIG;98.44493912;M
2012-08;P;61594;ES61;277796;INDI_ORIG;99.439083137;M
2012-08;P;61595;ES61;277796;INDI_ORIG;99.200982779;M
2012-09;P;61592;ES61;277796;INDI_ORIG;96.90767254;M
2012-09;P;61593;ES61;277796;INDI_ORIG;94.939129919;M
2012-09;P;61594;ES61;277796;INDI_ORIG;97.544486171;M
2012-09;P;61595;ES61;277796;INDI_ORIG;88.356174297;M
2012-10;P;61592;ES61;277796;INDI_ORIG;98.326441596;M
2012-10;P;61593;ES61;277796;INDI_ORIG;96.061715891;M
2012-10;P;61594;ES61;277796;INDI_ORIG;99.390209757;M
2012-10;P;61595;ES61;277796;INDI_ORIG;91.58536303;M
2012-11;P;61592;ES61;277796;INDI_ORIG;97.410147249;M
2012-11;P;61593;ES61;277796;INDI_ORIG;94.968527683;M
2012-11;P;61594;ES61;277796;INDI_ORIG;97.900179994;M
2012-11;P;61595;ES61;277796;INDI_ORIG;92.300651198;M
2012-12;P;61592;ES61;277796;INDI_ORIG;98.876275941;M
2012-12;P;61593;ES61;277796;INDI_ORIG;96.127045434;M
2012-12;P;61594;ES61;277796;INDI_ORIG;100.042087866;M
2012-12;P;61595;ES61;277796;INDI_ORIG;92.169740027;M
2013-01;P;61592;ES61;277796;INDI_ORIG;97.87825069;M
2013-01;P;61593;ES61;277796;INDI_ORIG;95.824260069;M
2013-01;P;61594;ES61;277796;INDI_ORIG;97.859682468;M
2013-01;P;61595;ES61;277796;INDI_ORIG;93.631212653;M
2013-02;P;61592;ES61;277796;INDI_ORIG;98.790923579;M
2013-02;P;61593;ES61;277796;INDI_ORIG;96.893883103;M
2013-02;P;61594;ES61;277796;INDI_ORIG;98.387517911;M
2013-02;P;61595;ES61;277796;INDI_ORIG;95.775927107;M
2013-03;P;61592;ES61;277796;INDI_ORIG;96.856203152;M
2013-03;P;61593;ES61;277796;INDI_ORIG;95.615867294;M
2013-03;P;61594;ES61;277796;INDI_ORIG;98.303499294;M
2013-03;P;61595;ES61;277796;INDI_ORIG;94.082806038;M
2013-04;P;61592;ES61;277796;INDI_ORIG;98.214068921;M
2013-04;P;61593;ES61;277796;INDI_ORIG;96.035908381;M
