TEMPORAL;OBS_STATUS;TIPO_VENTAS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2007-09;D;08;;INDI_CIFR_NEGO;163.524775754;M
2007-10;D;01;;INDI_CIFR_NEGO;136.083590456;M
2007-10;D;02;;INDI_CIFR_NEGO;136.131069319;M
2007-10;D;03;;INDI_CIFR_NEGO;136.302779788;M
2007-10;D;04;;INDI_CIFR_NEGO;122.777807151;M
2007-10;D;05;;INDI_CIFR_NEGO;125.51715884;M
2007-10;D;06;;INDI_CIFR_NEGO;128.794146933;M
2007-10;D;07;;INDI_CIFR_NEGO;161.043431688;M
2007-10;D;08;;INDI_CIFR_NEGO;174.821007905;M
2007-11;D;01;;INDI_CIFR_NEGO;133.814525545;M
2007-11;D;02;;INDI_CIFR_NEGO;136.114859982;M
2007-11;D;03;;INDI_CIFR_NEGO;128.343309587;M
2007-11;D;04;;INDI_CIFR_NEGO;117.281258183;M
2007-11;D;05;;INDI_CIFR_NEGO;106.063643872;M
2007-11;D;06;;INDI_CIFR_NEGO;127.054146338;M
2007-11;D;07;;INDI_CIFR_NEGO;164.775691721;M
2007-11;D;08;;INDI_CIFR_NEGO;159.408938109;M
2007-12;D;01;;INDI_CIFR_NEGO;145.705609463;M
2007-12;D;02;;INDI_CIFR_NEGO;149.954917113;M
2007-12;D;03;;INDI_CIFR_NEGO;135.346065143;M
2007-12;D;04;;INDI_CIFR_NEGO;117.090253079;M
2007-12;D;05;;INDI_CIFR_NEGO;120.952531097;M
2007-12;D;06;;INDI_CIFR_NEGO;143.99583328;M
2007-12;D;07;;INDI_CIFR_NEGO;183.336054257;M
2007-12;D;08;;INDI_CIFR_NEGO;147.079604735;M
2008-01;D;01;;INDI_CIFR_NEGO;126.76713839;M
2008-01;D;02;;INDI_CIFR_NEGO;130.351358055;M
2008-01;D;03;;INDI_CIFR_NEGO;118.038669469;M
2008-01;D;04;;INDI_CIFR_NEGO;107.859102281;M
2008-01;D;05;;INDI_CIFR_NEGO;98.086979797;M
2008-01;D;06;;INDI_CIFR_NEGO;126.003128966;M
2008-01;D;07;;INDI_CIFR_NEGO;156.91429732;M
2008-01;D;08;;INDI_CIFR_NEGO;128.390050768;M
2008-02;D;01;;INDI_CIFR_NEGO;119.700100933;M
2008-02;D;02;;INDI_CIFR_NEGO;121.380634179;M
2008-02;D;03;;INDI_CIFR_NEGO;115.757702807;M
2008-02;D;04;;INDI_CIFR_NEGO;110.207963364;M
2008-02;D;05;;INDI_CIFR_NEGO;100.131288619;M
2008-02;D;06;;INDI_CIFR_NEGO;124.947035403;M
2008-02;D;07;;INDI_CIFR_NEGO;127.585155898;M
2008-02;D;08;;INDI_CIFR_NEGO;135.259762402;M
2008-03;D;01;;INDI_CIFR_NEGO;128.896877144;M
2008-03;D;02;;INDI_CIFR_NEGO;131.174297021;M
2008-03;D;03;;INDI_CIFR_NEGO;123.471232488;M
2008-03;D;04;;INDI_CIFR_NEGO;114.518794625;M
2008-03;D;05;;INDI_CIFR_NEGO;117.59282007;M
2008-03;D;06;;INDI_CIFR_NEGO;129.083257528;M
2008-03;D;07;;INDI_CIFR_NEGO;136.77198456;M
2008-03;D;08;;INDI_CIFR_NEGO;137.736378281;M
2008-04;D;01;;INDI_CIFR_NEGO;130.319652273;M
2008-04;D;02;;INDI_CIFR_NEGO;132.099748574;M
2008-04;D;03;;INDI_CIFR_NEGO;126.152475452;M
2008-04;D;04;;INDI_CIFR_NEGO;118.944792798;M
2008-04;D;05;;INDI_CIFR_NEGO;115.284348782;M
2008-04;D;06;;INDI_CIFR_NEGO;130.824599814;M
2008-04;D;07;;INDI_CIFR_NEGO;153.538171194;M
2008-04;D;08;;INDI_CIFR_NEGO;129.310374903;M
2008-05;D;01;;INDI_CIFR_NEGO;127.627590614;M
2008-05;D;02;;INDI_CIFR_NEGO;127.728141995;M
2008-05;D;03;;INDI_CIFR_NEGO;127.691794608;M
2008-05;D;04;;INDI_CIFR_NEGO;118.756968308;M
2008-05;D;05;;INDI_CIFR_NEGO;124.756487415;M
2008-05;D;06;;INDI_CIFR_NEGO;127.356718033;M
2008-05;D;07;;INDI_CIFR_NEGO;135.795220155;M
2008-05;D;08;;INDI_CIFR_NEGO;149.884006258;M
2008-06;D;01;;INDI_CIFR_NEGO;128.838415957;M
2008-06;D;02;;INDI_CIFR_NEGO;129.389893453;M
2008-06;D;03;;INDI_CIFR_NEGO;127.76778985;M
2008-06;D;04;;INDI_CIFR_NEGO;116.166580688;M
2008-06;D;05;;INDI_CIFR_NEGO;125.033930008;M
2008-06;D;06;;INDI_CIFR_NEGO;131.300167944;M
2008-06;D;07;;INDI_CIFR_NEGO;140.539587124;M
2008-06;D;08;;INDI_CIFR_NEGO;146.971811897;M
2008-07;D;01;;INDI_CIFR_NEGO;141.4428254;M
