TEMPORAL;SEXO;TERRITORIO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
1999;;;;ANDALUCES;2080.4286742;A
1999;;;;ANDALUCES;1301.1984303;A
1999;;;;ANDALUCES;13441.1524172;A
1999;;;;ANDALUCES;3233.7678404;A
1999;;;;ANDALUCES;8505.7126397;A
1999;;;;ANDALUCES;10806.0157607;A
1999;;;;ANDALUCES;25013.8649854;A
1999;;;;ANDALUCES;3394.209355;A
1999;;;;ANDALUCES;13684.4049789;A
1999;;;;ANDALUCES;5771.3645059;A
1999;;;;ANDALUCES;14442.1138665;A
1999;;;;ANDALUCES;84851.4539325;A
1999;;;;ANDALUCES;1333.0582345;A
1999;;;;ANDALUCES;9799.6578206;A
1999;;;;ANDALUCES;3702.9054143;A
1999;;;;ANDALUCES;3847.8938799;A
1999;;;;ANDALUCES;1539.729544;A
1999;;;;ANDALUCES;2265.537442;A
1999;;;;ANDALUCES;4552.4524439;A
1999;;;;ANDALUCES;7193.3495193;A
1999;;;;ANDALUCES;34234.5842985;A
1999;;;;ANDALUCES;149.1708395;A
1999;;;;ANDALUCES;1158.7218734;A
1999;;;;ANDALUCES;552.1568388;A
1999;;;;ANDALUCES;459.3517554;A
1999;;;;ANDALUCES;538.342189;A
1999;;;;ANDALUCES;846.6372581;A
1999;;;;ANDALUCES;790.7456906;A
1999;;;;ANDALUCES;744.0253819;A
1999;;;;ANDALUCES;5239.1518267;A
1999;;;;ANDALUCES;1182.2745367;A
1999;;;;ANDALUCES;2237.2494943;A
1999;;;;ANDALUCES;7490.9902288;A
1999;;;;ANDALUCES;3183.5328853;A
1999;;;;ANDALUCES;1057.3676422;A
1999;;;;ANDALUCES;9578.437218;A
1999;;;;ANDALUCES;2112.6107796;A
1999;;;;ANDALUCES;3207.6183358;A
1999;;;;ANDALUCES;30050.0811207;A
1999;;;;ANDALUCES;858.4522955;A
1999;;;;ANDALUCES;2235.2839661;A
1999;;;;ANDALUCES;3091.9054185;A
1999;;;;ANDALUCES;2484.1958789;A
1999;;;;ANDALUCES;999.9298344;A
1999;;;;ANDALUCES;3838.2303823;A
1999;;;;ANDALUCES;2040.2139654;A
1999;;;;ANDALUCES;2860.2901507;A
1999;;;;ANDALUCES;18408.5018918;A
1999;;;;ANDALUCES;90054.2109347;A
1999;;;;ANDALUCES;44682.0865769;A
1999;;;;ANDALUCES;147380.4608945;A
1999;;;;ANDALUCES;158029.3275277;A
1999;;;;ANDALUCES;28969.39492;A
1999;;;;ANDALUCES;148174.7110441;A
1999;;;;ANDALUCES;73361.7680756;A
1999;;;;ANDALUCES;104185.8852944;A
1999;;;;ANDALUCES;794837.8452679;A
1999;;;;ANDALUCES;16382.2075962;A
1999;;;;ANDALUCES;15568.4726601;A
1999;;;;ANDALUCES;37227.4738285;A
1999;;;;ANDALUCES;41316.7747484;A
1999;;;;ANDALUCES;4478.3880666;A
