TEMPORAL;EDAD;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
1999;;;;ANDALUCES;716.6970589;A
1999;;;;ANDALUCES;733.4869024;A
1999;;;;ANDALUCES;1232.4252703;A
1999;;;;ANDALUCES;5905.2520776;A
1999;;;;ANDALUCES;1060.6931776;A
1999;;;;ANDALUCES;3033.9433574;A
1999;;;;ANDALUCES;2183.9792776;A
1999;;;;ANDALUCES;2824.2214152;A
1999;;;;ANDALUCES;613.6948511;A
1999;;;;ANDALUCES;2785.1969228;A
1999;;;;ANDALUCES;1943.6865316;A
1999;;;;ANDALUCES;3057.8441813;A
1999;;;;ANDALUCES;17503.2597146;A
1999;;;;ANDALUCES;536.7788874;A
1999;;;;ANDALUCES;1600.791455;A
1999;;;;ANDALUCES;1104.798696;A
1999;;;;ANDALUCES;1459.5671956;A
1999;;;;ANDALUCES;301.0350078;A
1999;;;;ANDALUCES;1412.1949517;A
1999;;;;ANDALUCES;1004.4349462;A
1999;;;;ANDALUCES;1616.7153055;A
1999;;;;ANDALUCES;9036.3164452;A
1999;;;;ANDALUCES;523.9142902;A
1999;;;;ANDALUCES;1433.1519024;A
1999;;;;ANDALUCES;1079.1805816;A
1999;;;;ANDALUCES;1364.6542196;A
1999;;;;ANDALUCES;312.6598433;A
1999;;;;ANDALUCES;1373.0019711;A
1999;;;;ANDALUCES;939.2515854;A
1999;;;;ANDALUCES;1441.1288758;A
1999;;;;ANDALUCES;8466.9432694;A
1999;;;;ANDALUCES;1495.1670496;A
1999;;;;ANDALUCES;3776.2452459;A
1999;;;;ANDALUCES;2738.4158388;A
1999;;;;ANDALUCES;3501.6290013;A
1999;;;;ANDALUCES;862.8539412;A
1999;;;;ANDALUCES;3475.9863559;A
1999;;;;ANDALUCES;2273.5387885;A
1999;;;;ANDALUCES;4083.9020627;A
1999;;;;ANDALUCES;22207.7382839;A
1999;;;;ANDALUCES;755.8756791;A
1999;;;;ANDALUCES;1996.4222862;A
1999;;;;ANDALUCES;1409.6369593;A
1999;;;;ANDALUCES;1803.8617393;A
1999;;;;ANDALUCES;457.4360334;A
1999;;;;ANDALUCES;1829.1554375;A
1999;;;;ANDALUCES;1164.3059083;A
1999;;;;ANDALUCES;2110.1759583;A
1999;;;;ANDALUCES;11526.8700014;A
1999;;;;ANDALUCES;739.2913705;A
1999;;;;ANDALUCES;1779.8229597;A
1999;;;;ANDALUCES;1328.7788795;A
1999;;;;ANDALUCES;1697.767262;A
1999;;;;ANDALUCES;405.4179078;A
1999;;;;ANDALUCES;1646.8309184;A
1999;;;;ANDALUCES;1109.2328802;A
1999;;;;ANDALUCES;1973.7261044;A
