TEMPORAL;TERRITORIO;TIPOMATRIMONIO;INDICATOR;OBS_VALUE;FREQ
2012;41;1;DIVORCIOS;4483.89142;A
2012;41;23;DIVORCIOS;15.0;A
2012;41;2;DIVORCIOS;9.0;A
2012;41;3;DIVORCIOS;6.0;A
2011;C01;00;DIVORCIOS;18257.58564089;A
2011;C01;1;DIVORCIOS;18210.58564089;A
2011;C01;23;DIVORCIOS;47.0;A
2011;C01;2;DIVORCIOS;25.0;A
2011;C01;3;DIVORCIOS;22.0;A
2011;04;00;DIVORCIOS;1426.82187464;A
2011;04;1;DIVORCIOS;1426.82187464;A
2011;11;00;DIVORCIOS;2822.48660103;A
2011;11;1;DIVORCIOS;2816.48660103;A
2011;11;23;DIVORCIOS;6.0;A
2011;11;2;DIVORCIOS;3.0;A
2011;11;3;DIVORCIOS;3.0;A
2011;14;00;DIVORCIOS;1607.8291226;A
2011;14;1;DIVORCIOS;1604.8291226;A
2011;14;23;DIVORCIOS;3.0;A
2011;14;2;DIVORCIOS;1.0;A
2011;14;3;DIVORCIOS;2.0;A
2011;18;00;DIVORCIOS;2058.63585768;A
2011;18;1;DIVORCIOS;2057.63585768;A
2011;18;23;DIVORCIOS;1.0;A
2011;18;2;DIVORCIOS;1.0;A
2011;21;00;DIVORCIOS;976.40048302;A
2011;21;1;DIVORCIOS;972.40048302;A
2011;21;23;DIVORCIOS;4.0;A
2011;21;2;DIVORCIOS;3.0;A
2011;21;3;DIVORCIOS;1.0;A
2011;23;00;DIVORCIOS;1223.16206129;A
2011;23;1;DIVORCIOS;1220.16206129;A
2011;23;23;DIVORCIOS;3.0;A
2011;23;2;DIVORCIOS;2.0;A
2011;23;3;DIVORCIOS;1.0;A
2011;29;00;DIVORCIOS;3827.02436747;A
2011;29;1;DIVORCIOS;3813.02436747;A
2011;29;23;DIVORCIOS;14.0;A
2011;29;2;DIVORCIOS;9.0;A
2011;29;3;DIVORCIOS;5.0;A
2011;41;00;DIVORCIOS;4315.22527316;A
2011;41;1;DIVORCIOS;4299.22527316;A
2011;41;23;DIVORCIOS;16.0;A
2011;41;2;DIVORCIOS;6.0;A
2011;41;3;DIVORCIOS;10.0;A
2010;C01;00;DIVORCIOS;18373.44232079;A
2010;C01;1;DIVORCIOS;18337.44232079;A
2010;C01;23;DIVORCIOS;36.0;A
2010;C01;2;DIVORCIOS;18.0;A
2010;C01;3;DIVORCIOS;18.0;A
2010;04;00;DIVORCIOS;1362.40772485;A
2010;04;1;DIVORCIOS;1356.40772485;A
2010;04;23;DIVORCIOS;6.0;A
2010;04;2;DIVORCIOS;3.0;A
2010;04;3;DIVORCIOS;3.0;A
2010;11;00;DIVORCIOS;2718.61775842;A
2010;11;1;DIVORCIOS;2714.61775842;A
2010;11;23;DIVORCIOS;4.0;A
2010;11;2;DIVORCIOS;2.0;A
2010;11;3;DIVORCIOS;2.0;A
2010;14;00;DIVORCIOS;1659.02026916;A
2010;14;1;DIVORCIOS;1654.02026916;A
2010;14;23;DIVORCIOS;5.0;A
2010;14;2;DIVORCIOS;3.0;A
2010;14;3;DIVORCIOS;2.0;A
2010;18;00;DIVORCIOS;2005.38373943;A
2010;18;1;DIVORCIOS;2005.38373943;A
2010;21;00;DIVORCIOS;992.51673019;A
2010;21;1;DIVORCIOS;991.51673019;A
2010;21;23;DIVORCIOS;1.0;A
2010;21;2;DIVORCIOS;1.0;A
2010;23;00;DIVORCIOS;1193.6878551;A
2010;23;1;DIVORCIOS;1190.6878551;A
2010;23;23;DIVORCIOS;3.0;A
2010;23;3;DIVORCIOS;3.0;A
2010;29;00;DIVORCIOS;3876.9745934;A
2010;29;1;DIVORCIOS;3870.9745934;A
2010;29;23;DIVORCIOS;6.0;A
2010;29;2;DIVORCIOS;3.0;A
2010;29;3;DIVORCIOS;3.0;A
2010;41;00;DIVORCIOS;4564.83365024;A
2010;41;1;DIVORCIOS;4553.83365024;A
2010;41;23;DIVORCIOS;11.0;A
2010;41;2;DIVORCIOS;6.0;A
2010;41;3;DIVORCIOS;5.0;A
2009;C01;00;DIVORCIOS;17493.840001105;A
2009;C01;1;DIVORCIOS;17474.840001105;A
2009;C01;23;DIVORCIOS;19.0;A
2009;C01;2;DIVORCIOS;10.0;A
2009;C01;3;DIVORCIOS;9.0;A
2009;04;00;DIVORCIOS;1275.959999958;A
2009;04;1;DIVORCIOS;1275.959999958;A
2009;11;00;DIVORCIOS;2773.590000972;A
2009;11;1;DIVORCIOS;2767.590000972;A
2009;11;23;DIVORCIOS;6.0;A
2009;11;2;DIVORCIOS;2.0;A
2009;11;3;DIVORCIOS;4.0;A
2009;14;00;DIVORCIOS;1537.74000012;A
2009;14;1;DIVORCIOS;1537.74000012;A
2009;18;00;DIVORCIOS;1967.070000359;A
2009;18;1;DIVORCIOS;1967.070000359;A
2009;21;00;DIVORCIOS;1012.380000091;A
2009;21;1;DIVORCIOS;1012.380000091;A
2009;23;00;DIVORCIOS;1122.459999905;A
2009;23;1;DIVORCIOS;1121.459999905;A
2009;23;23;DIVORCIOS;1.0;A
2009;23;2;DIVORCIOS;1.0;A
2009;29;00;DIVORCIOS;3607.690000055;A
2009;29;1;DIVORCIOS;3602.690000055;A
2009;29;23;DIVORCIOS;5.0;A
2009;29;2;DIVORCIOS;3.0;A
2009;29;3;DIVORCIOS;2.0;A
2009;41;00;DIVORCIOS;4196.949999645;A
2009;41;1;DIVORCIOS;4189.949999645;A
2009;41;23;DIVORCIOS;7.0;A
2009;41;2;DIVORCIOS;4.0;A
2009;41;3;DIVORCIOS;3.0;A
2008;C01;00;DIVORCIOS;19784.701197956;A
2008;C01;1;DIVORCIOS;19772.701197956;A
2008;C01;23;DIVORCIOS;12.0;A
2008;C01;2;DIVORCIOS;4.0;A
2008;C01;3;DIVORCIOS;8.0;A
2008;04;00;DIVORCIOS;1459.899390218;A
2008;04;1;DIVORCIOS;1459.899390218;A
2008;11;00;DIVORCIOS;3029.88628849;A
2008;11;1;DIVORCIOS;3025.88628849;A
2008;11;23;DIVORCIOS;4.0;A
2008;11;2;DIVORCIOS;2.0;A
2008;11;3;DIVORCIOS;2.0;A
2008;14;00;DIVORCIOS;1595.530376772;A
2008;14;1;DIVORCIOS;1595.530376772;A
2008;18;00;DIVORCIOS;2172.357568834;A
2008;18;1;DIVORCIOS;2172.357568834;A
2008;21;00;DIVORCIOS;1165.944181717;A
2008;21;1;DIVORCIOS;1165.944181717;A
2008;23;00;DIVORCIOS;1297.204501345;A
2008;23;1;DIVORCIOS;1296.204501345;A
2008;23;23;DIVORCIOS;1.0;A
2008;23;3;DIVORCIOS;1.0;A
2008;29;00;DIVORCIOS;4187.089941605;A
2008;29;1;DIVORCIOS;4180.089941605;A
2008;29;23;DIVORCIOS;7.0;A
2008;29;2;DIVORCIOS;2.0;A
2008;29;3;DIVORCIOS;5.0;A
2008;41;00;DIVORCIOS;4876.788948975;A
