TEMPORAL;TERRITORIO;NUMHIJOSMENORED;INDICATOR;OBS_VALUE;FREQ
2011;21;0;DIVORCIOS;372.33923021;A
2011;21;1;DIVORCIOS;331.09876328;A
2011;21;2;DIVORCIOS;238.67755323;A
2011;21;3;DIVORCIOS;29.82189314;A
2011;21;4;DIVORCIOS;4.46304316;A
2011;23;000;DIVORCIOS;1223.16206129;A
2011;23;0;DIVORCIOS;453.89824154;A
2011;23;1;DIVORCIOS;401.44938377;A
2011;23;2;DIVORCIOS;321.72581146;A
2011;23;3;DIVORCIOS;42.65822548;A
2011;23;4;DIVORCIOS;3.43039904;A
2011;29;000;DIVORCIOS;3827.02436747;A
2011;29;0;DIVORCIOS;1750.01485096;A
2011;29;1;DIVORCIOS;1095.64919368;A
2011;29;2;DIVORCIOS;839.63571072;A
2011;29;3;DIVORCIOS;127.68371955;A
2011;29;4;DIVORCIOS;12.54909087;A
2011;29;05MAS;DIVORCIOS;1.49180169;A
2011;41;000;DIVORCIOS;4315.22527316;A
2011;41;0;DIVORCIOS;1846.57133392;A
