TEMPORAL;TERRITORIO;EDAD;EDADC2;INDICATOR;OBS_VALUE;FREQ
2020;18;00;025029;DIVORCIOS;27.7392;A
2020;18;00;030034;DIVORCIOS;120.72095;A
2020;18;00;035039;DIVORCIOS;168.96503;A
2020;18;00;040044;DIVORCIOS;299.67218;A
2020;18;00;045049;DIVORCIOS;313.87458;A
2020;18;00;050054;DIVORCIOS;185.69726;A
2020;18;00;055059;DIVORCIOS;124.20499;A
2020;18;00;060064;DIVORCIOS;58.27447;A
2020;18;00;065069;DIVORCIOS;19.12894;A
2020;18;00;070074;DIVORCIOS;6.08043;A
2020;18;025029;00;DIVORCIOS;17.35364;A
2020;18;025029;025029;DIVORCIOS;8.67682;A
2020;18;025029;030034;DIVORCIOS;6.08043;A
2020;18;025029;035039;DIVORCIOS;2.59639;A
2020;18;030034;00;DIVORCIOS;95.51158;A
2020;18;030034;015024;DIVORCIOS;3.48404;A
2020;18;030034;025029;DIVORCIOS;11.27321;A
2020;18;030034;030034;DIVORCIOS;61.69195;A
2020;18;030034;035039;DIVORCIOS;10.38556;A
2020;18;030034;045049;DIVORCIOS;2.59639;A
2020;18;030034;050054;DIVORCIOS;6.08043;A
2020;18;035039;00;DIVORCIOS;139.58365;A
2020;18;035039;015024;DIVORCIOS;6.08043;A
2020;18;035039;025029;DIVORCIOS;2.59639;A
2020;18;035039;030034;DIVORCIOS;36.41602;A
2020;18;035039;035039;DIVORCIOS;73.65313;A
2020;18;035039;040044;DIVORCIOS;13.8696;A
2020;18;035039;045049;DIVORCIOS;6.96808;A
2020;18;040044;00;DIVORCIOS;267.82753;A
2020;18;040044;025029;DIVORCIOS;5.19278;A
2020;18;040044;030034;DIVORCIOS;16.53255;A
2020;18;040044;035039;DIVORCIOS;49.39797;A
2020;18;040044;040044;DIVORCIOS;148.12735;A
2020;18;040044;045049;DIVORCIOS;42.49645;A
2020;18;040044;050054;DIVORCIOS;6.08043;A
2020;18;045049;00;DIVORCIOS;297.27547;A
2020;18;045049;035039;DIVORCIOS;21.65877;A
2020;18;045049;040044;DIVORCIOS;98.72938;A
2020;18;045049;045049;DIVORCIOS;153.45325;A
2020;18;045049;050054;DIVORCIOS;17.35364;A
2020;18;045049;055059;DIVORCIOS;6.08043;A
2020;18;050054;00;DIVORCIOS;247.05641;A
2020;18;050054;035039;DIVORCIOS;8.67682;A
2020;18;050054;040044;DIVORCIOS;31.15668;A
2020;18;050054;045049;DIVORCIOS;89.29803;A
2020;18;050054;050054;DIVORCIOS;93.60316;A
2020;18;050054;055059;DIVORCIOS;21.72533;A
2020;18;050054;060064;DIVORCIOS;2.59639;A
2020;18;055059;00;DIVORCIOS;123.31734;A
2020;18;055059;040044;DIVORCIOS;7.78917;A
2020;18;055059;045049;DIVORCIOS;19.06238;A
2020;18;055059;050054;DIVORCIOS;40.85427;A
2020;18;055059;055059;DIVORCIOS;52.12748;A
2020;18;055059;060064;DIVORCIOS;3.48404;A
2020;18;060064;00;DIVORCIOS;79.93324;A
2020;18;060064;035039;DIVORCIOS;2.59639;A
2020;18;060064;050054;DIVORCIOS;15.6449;A
2020;18;060064;055059;DIVORCIOS;28.62685;A
2020;18;060064;060064;DIVORCIOS;33.0651;A
2020;18;065069;00;DIVORCIOS;31.2898;A
2020;18;065069;055059;DIVORCIOS;6.08043;A
2020;18;065069;060064;DIVORCIOS;19.12894;A
2020;18;065069;065069;DIVORCIOS;6.08043;A
2020;18;070074;00;DIVORCIOS;28.69341;A
2020;18;070074;050054;DIVORCIOS;6.08043;A
2020;18;070074;055059;DIVORCIOS;6.08043;A
2020;18;070074;065069;DIVORCIOS;13.04851;A
2020;18;070074;070074;DIVORCIOS;3.48404;A
2020;18;065100;00;DIVORCIOS;6.08043;A
2020;18;065100;055059;DIVORCIOS;3.48404;A
2020;18;065100;070074;DIVORCIOS;2.59639;A
2020;21;00;00;DIVORCIOS;832.55851;A
2020;21;00;015024;DIVORCIOS;8.44148;A
2020;21;00;025029;DIVORCIOS;20.6661;A
2020;21;00;030034;DIVORCIOS;60.54433;A
2020;21;00;035039;DIVORCIOS;160.69864;A
2020;21;00;040044;DIVORCIOS;153.71113;A
2020;21;00;045049;DIVORCIOS;172.92326;A
2020;21;00;050054;DIVORCIOS;140.59722;A
2020;21;00;055059;DIVORCIOS;55.88599;A
2020;21;00;060064;DIVORCIOS;44.53657;A
2020;21;00;065069;DIVORCIOS;8.44148;A
2020;21;00;075100;DIVORCIOS;6.11231;A
2020;21;015019;00;DIVORCIOS;2.32917;A
2020;21;015019;045049;DIVORCIOS;2.32917;A
2020;21;025029;00;DIVORCIOS;15.42899;A
2020;21;025029;015024;DIVORCIOS;2.32917;A
2020;21;025029;025029;DIVORCIOS;8.44148;A
2020;21;025029;030034;DIVORCIOS;4.65834;A
2020;21;030034;00;DIVORCIOS;36.09509;A
2020;21;030034;015024;DIVORCIOS;2.32917;A
2020;21;030034;025029;DIVORCIOS;6.11231;A
2020;21;030034;030034;DIVORCIOS;9.89545;A
2020;21;030034;035039;DIVORCIOS;11.64585;A
2020;21;030034;040044;DIVORCIOS;6.11231;A
2020;21;035039;00;DIVORCIOS;89.36957;A
2020;21;035039;025029;DIVORCIOS;3.78314;A
