D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
144;2016;estado Doctorados STEM. Hombres;;A
144;2017;estado Doctorados STEM. Hombres;;A
144;2018;estado Doctorados STEM. Hombres;;A
144;2019;estado Doctorados STEM. Hombres;;A
144;2020;estado Doctorados STEM. Hombres;;A
109;2013;estado Doctorados STEM. Hombres;;A
109;2014;estado Doctorados STEM. Hombres;;A
109;2015;estado Doctorados STEM. Hombres;;A
109;2016;estado Doctorados STEM. Hombres;;A
109;2017;estado Doctorados STEM. Hombres;;A
109;2018;estado Doctorados STEM. Hombres;;A
109;2019;estado Doctorados STEM. Hombres;;A
109;2020;estado Doctorados STEM. Hombres;;A
131;2013;estado Doctorados STEM. Hombres;;A
131;2014;estado Doctorados STEM. Hombres;;A
131;2015;estado Doctorados STEM. Hombres;;A
131;2016;estado Doctorados STEM. Hombres;;A
131;2017;estado Doctorados STEM. Hombres;;A
131;2018;estado Doctorados STEM. Hombres;;A
131;2019;estado Doctorados STEM. Hombres;;A
131;2020;estado Doctorados STEM. Hombres;;A
125;2013;estado Doctorados STEM. Hombres;;A
125;2014;estado Doctorados STEM. Hombres;;A
125;2015;estado Doctorados STEM. Hombres;;A
125;2016;estado Doctorados STEM. Hombres;;A
125;2017;estado Doctorados STEM. Hombres;;A
125;2018;estado Doctorados STEM. Hombres;;A
125;2019;estado Doctorados STEM. Hombres;;A
125;2020;estado Doctorados STEM. Hombres;--;A
114;2013;estado Doctorados STEM. Hombres;;A
114;2014;estado Doctorados STEM. Hombres;;A
