TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
115;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.6;A
106;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.9;A
106;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.2;A
106;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.4;A
106;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.1;A
106;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;16.9;A
106;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;17.2;A
106;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;17.2;A
106;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;16.2;A
106;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;16.4;A
106;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;17.0;A
106;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;17.7;A
106;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;17.2;A
106;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;18.3;A
106;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;19.2;A
136;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.1;A
136;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.1;A
136;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.5;A
136;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.0;A
136;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.3;A
136;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.8;A
136;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.9;A
136;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.2;A
136;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.1;A
136;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.1;A
136;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.1;A
136;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.0;A
136;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.2;A
136;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.0;A
142;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;7.5;A
142;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.1;A
142;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.7;A
142;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.9;A
142;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.1;A
142;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.0;A
142;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.8;A
142;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.3;A
142;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.7;A
142;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.7;A
142;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;10.4;A
142;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.0;A
142;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.1;A
142;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.2;A
117;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;23.6;A
117;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;25.0;A
117;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;25.5;A
117;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;25.2;A
117;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;25.5;A
117;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;26.2;A
117;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;27.5;A
117;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;22.9;A
117;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;22.7;A
117;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;22.0;A
117;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;24.5;A
117;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;25.7;A
117;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;26.3;A
117;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;26.4;A
112;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.8;A
112;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.3;A
112;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.7;A
112;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.0;A
112;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.5;A
112;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.9;A
112;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.3;A
112;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.0;A
112;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.2;A
112;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.6;A
112;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;11.8;A
112;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;12.2;A
112;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.3;A
112;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.9;A
118;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.6;A
118;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.6;A
118;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;16.0;A
118;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;16.2;A
118;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;16.7;A
118;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;17.2;A
118;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;18.6;A
118;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;19.3;A
118;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;19.2;A
118;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;19.0;A
118;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;18.6;A
118;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;18.3;A
118;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;19.9;A
118;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;20.2;A
121;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;16.7;A
121;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.8;A
121;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.1;A
121;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.9;A
121;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.3;A
121;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;17.1;A
121;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;17.3;A
121;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;17.4;A
121;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;17.5;A
121;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;17.1;A
121;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;17.7;A
121;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;17.8;A
121;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;17.8;A
121;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;19.9;A
102;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;13.9;A
102;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.3;A
102;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.4;A
102;2011;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.0;A
102;2012;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.2;A
102;2013;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.6;A
102;2014;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.7;A
102;2015;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.5;A
102;2016;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.6;A
102;2017;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.0;A
102;2018;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.0;A
102;2019;EMPL_ACTI_INTE_CONO_AMBO_SEXO;14.9;A
102;2020;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.1;A
102;2021;EMPL_ACTI_INTE_CONO_AMBO_SEXO;15.3;A
122;2008;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.2;A
122;2009;EMPL_ACTI_INTE_CONO_AMBO_SEXO;8.9;A
122;2010;EMPL_ACTI_INTE_CONO_AMBO_SEXO;9.0;A
