D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2011;23;000;Nulidades;1.0;A
2011;23;0;Nulidades;1.0;A
2011;23;1;Nulidades;;A
2011;23;2;Nulidades;;A
2011;23;3;Nulidades;;A
2011;23;4;Nulidades;;A
2011;29;000;Nulidades;9.0;A
2011;29;0;Nulidades;9.0;A
2011;29;1;Nulidades;;A
2011;29;2;Nulidades;;A
2011;29;3;Nulidades;;A
2011;29;4;Nulidades;;A
2011;29;05+;Nulidades;;A
2011;41;000;Nulidades;12.0;A
2011;41;0;Nulidades;12.0;A
2011;41;1;Nulidades;;A
2011;41;2;Nulidades;;A
2011;41;3;Nulidades;;A
2011;41;4;Nulidades;;A
2011;41;05+;Nulidades;;A
2010;C01;000;Nulidades;30.0;A
2010;C01;0;Nulidades;20.0;A
2010;C01;1;Nulidades;3.0;A
2010;C01;2;Nulidades;7.0;A
2010;C01;3;Nulidades;;A
2010;C01;4;Nulidades;;A
2010;C01;05+;Nulidades;;A
2010;04;000;Nulidades;5.0;A
2010;04;0;Nulidades;5.0;A
2010;04;1;Nulidades;;A
2010;04;2;Nulidades;;A
2010;04;3;Nulidades;;A
2010;04;4;Nulidades;;A
2010;04;05+;Nulidades;;A
2010;11;000;Nulidades;4.0;A
2010;11;0;Nulidades;2.0;A
2010;11;1;Nulidades;;A
2010;11;2;Nulidades;2.0;A
2010;11;3;Nulidades;;A
2010;11;4;Nulidades;;A
2010;11;05+;Nulidades;;A
2010;14;000;Nulidades;1.0;A
2010;14;0;Nulidades;;A
2010;14;1;Nulidades;1.0;A
2010;14;2;Nulidades;;A
2010;14;3;Nulidades;;A
2010;14;4;Nulidades;;A
2010;14;05+;Nulidades;;A
2010;18;000;Nulidades;4.0;A
2010;18;0;Nulidades;2.0;A
2010;18;1;Nulidades;;A
2010;18;2;Nulidades;2.0;A
2010;18;3;Nulidades;;A
2010;18;4;Nulidades;;A
2010;18;05+;Nulidades;;A
2010;21;000;Nulidades;1.0;A
2010;21;0;Nulidades;;A
2010;21;1;Nulidades;1.0;A
2010;21;2;Nulidades;;A
2010;21;3;Nulidades;;A
2010;21;05+;Nulidades;;A
2010;23;000;Nulidades;;A
2010;23;0;Nulidades;;A
2010;23;1;Nulidades;;A
2010;23;2;Nulidades;;A
2010;23;3;Nulidades;;A
2010;23;4;Nulidades;;A
2010;23;05+;Nulidades;;A
2010;29;000;Nulidades;8.0;A
2010;29;0;Nulidades;6.0;A
2010;29;1;Nulidades;;A
2010;29;2;Nulidades;2.0;A
2010;29;3;Nulidades;;A
2010;29;4;Nulidades;;A
2010;29;05+;Nulidades;;A
2010;41;000;Nulidades;7.0;A
2010;41;0;Nulidades;5.0;A
2010;41;1;Nulidades;1.0;A
2010;41;2;Nulidades;1.0;A
2010;41;3;Nulidades;;A
2010;41;4;Nulidades;;A
2010;41;05+;Nulidades;;A
2009;C01;000;Nulidades;22.800000001;A
2009;C01;0;Nulidades;22.800000001;A
2009;C01;1;Nulidades;;A
2009;C01;2;Nulidades;;A
2009;C01;3;Nulidades;;A
2009;C01;4;Nulidades;;A
2009;C01;05+;Nulidades;;A
2009;04;000;Nulidades;;A
2009;04;0;Nulidades;;A
2009;04;1;Nulidades;;A
2009;04;2;Nulidades;;A
2009;04;3;Nulidades;;A
2009;11;000;Nulidades;1.0;A
2009;11;0;Nulidades;1.0;A
2009;11;1;Nulidades;;A
2009;11;2;Nulidades;;A
2009;11;3;Nulidades;;A
2009;11;4;Nulidades;;A
2009;11;05+;Nulidades;;A
2009;14;000;Nulidades;2.7;A
2009;14;0;Nulidades;2.7;A
2009;14;1;Nulidades;;A
2009;14;2;Nulidades;;A
2009;14;3;Nulidades;;A
2009;14;4;Nulidades;;A
2009;14;05+;Nulidades;;A
2009;18;000;Nulidades;3.200000001;A
2009;18;0;Nulidades;3.200000001;A
2009;18;1;Nulidades;;A
2009;18;2;Nulidades;;A
2009;18;3;Nulidades;;A
2009;18;4;Nulidades;;A
2009;18;05+;Nulidades;;A
2009;21;000;Nulidades;1.8;A
2009;21;0;Nulidades;1.8;A
2009;21;1;Nulidades;;A
2009;21;2;Nulidades;;A
2009;21;3;Nulidades;;A
2009;23;000;Nulidades;2.0;A
2009;23;0;Nulidades;2.0;A
2009;23;1;Nulidades;;A
2009;23;2;Nulidades;;A
2009;23;3;Nulidades;;A
2009;29;000;Nulidades;4.0;A
2009;29;0;Nulidades;4.0;A
2009;29;1;Nulidades;;A
2009;29;2;Nulidades;;A
2009;29;3;Nulidades;;A
2009;29;4;Nulidades;;A
2009;29;05+;Nulidades;;A
2009;41;000;Nulidades;8.1;A
2009;41;0;Nulidades;8.1;A
2009;41;1;Nulidades;;A
2009;41;2;Nulidades;;A
2009;41;3;Nulidades;;A
2009;41;4;Nulidades;;A
2008;C01;000;Nulidades;20.03268282;A
2008;C01;0;Nulidades;20.03268282;A
2008;C01;1;Nulidades;;A
2008;C01;2;Nulidades;;A
2008;C01;3;Nulidades;;A
2008;C01;4;Nulidades;;A
2008;C01;05+;Nulidades;;A
2008;04;000;Nulidades;1.82545068;A
2008;04;0;Nulidades;1.82545068;A
2008;04;1;Nulidades;;A
2008;04;2;Nulidades;;A
2008;04;3;Nulidades;;A
2008;04;4;Nulidades;;A
2008;04;05+;Nulidades;;A
2008;11;000;Nulidades;1.0;A
2008;11;0;Nulidades;1.0;A
2008;11;1;Nulidades;;A
2008;11;2;Nulidades;;A
2008;11;3;Nulidades;;A
2008;11;4;Nulidades;;A
