D_TEMPORAL_0;D_TERRITORIO_0;D_CUSTODIA_0;INDICATOR;OBS_VALUE;FREQ
2011;41;00;Divorcios;4315.22527316;A
2011;41;1;Divorcios;92.2700674;A
2011;41;2;Divorcios;2178.73241138;A
2011;41;3;Divorcios;189.22978692;A
2011;41;4;Divorcios;8.42167354;A
2011;41;NP;Divorcios;1846.57133392;A
2010;C01;00;Divorcios;18373.44232079;A
2010;C01;1;Divorcios;528.57437298;A
2010;C01;2;Divorcios;9060.13192581;A
2010;C01;3;Divorcios;674.76684729;A
2010;C01;4;Divorcios;45.65789335;A
2010;C01;NP;Divorcios;8064.31128136;A
2010;04;00;Divorcios;1362.40772485;A
2010;04;1;Divorcios;50.1040771;A
2010;04;2;Divorcios;626.72568866;A
2010;04;3;Divorcios;47.66313438;A
2010;04;NP;Divorcios;637.91482471;A
2010;11;00;Divorcios;2718.61775842;A
2010;11;1;Divorcios;70.13503908;A
2010;11;2;Divorcios;1363.30349778;A
2010;11;3;Divorcios;74.17001304;A
2010;11;4;Divorcios;5.98748544;A
2010;11;NP;Divorcios;1205.02172308;A
2010;14;00;Divorcios;1659.02026916;A
2010;14;1;Divorcios;46.03372363;A
2010;14;2;Divorcios;868.4194442;A
2010;14;3;Divorcios;25.22275663;A
2010;14;4;Divorcios;7.63648189;A
2010;14;NP;Divorcios;711.70786281;A
2010;18;00;Divorcios;2005.38373943;A
2010;18;1;Divorcios;29.24673148;A
2010;18;2;Divorcios;1020.22030304;A
2010;18;3;Divorcios;58.21932227;A
2010;18;4;Divorcios;1.38399862;A
2010;18;NP;Divorcios;896.31338402;A
2010;21;00;Divorcios;992.51673019;A
2010;21;1;Divorcios;41.71235982;A
2010;21;2;Divorcios;548.92198036;A
2010;21;3;Divorcios;32.55288974;A
2010;21;4;Divorcios;3.78632344;A
2010;21;NP;Divorcios;365.54317683;A
2010;23;00;Divorcios;1193.6878551;A
2010;23;1;Divorcios;21.60577239;A
2010;23;2;Divorcios;639.34934789;A
2010;23;3;Divorcios;28.04368196;A
2010;23;4;Divorcios;1.28338615;A
2010;23;NP;Divorcios;503.40566671;A
2010;29;00;Divorcios;3876.9745934;A
2010;29;1;Divorcios;103.92012192;A
2010;29;2;Divorcios;1794.5284419;A
2010;29;3;Divorcios;156.37496744;A
2010;29;4;Divorcios;10.09903578;A
2010;29;NP;Divorcios;1812.05202636;A
2010;41;00;Divorcios;4564.83365024;A
2010;41;1;Divorcios;165.81654756;A
2010;41;2;Divorcios;2198.66322198;A
2010;41;3;Divorcios;252.52008183;A
2010;41;4;Divorcios;15.48118203;A
2010;41;NP;Divorcios;1932.35261684;A
2009;C01;00;Divorcios;17493.840001105;A
2009;C01;1;Divorcios;441.214214474;A
2009;C01;2;Divorcios;8732.391488987;A
2009;C01;3;Divorcios;863.762000831;A
2009;C01;4;Divorcios;89.455920519;A
2009;C01;NP;Divorcios;7348.016376294;A
2009;C01;NC;Divorcios;19.0;A
2009;04;00;Divorcios;1275.959999958;A
2009;04;1;Divorcios;35.074905968;A
2009;04;2;Divorcios;636.550716348;A
2009;04;3;Divorcios;54.34649526;A
2009;04;4;Divorcios;1.078473684;A
2009;04;NP;Divorcios;548.909408698;A
2009;11;00;Divorcios;2773.590000972;A
2009;11;1;Divorcios;67.543326428;A
2009;11;2;Divorcios;1470.14000317;A
2009;11;3;Divorcios;133.965418865;A
2009;11;4;Divorcios;8.511255161;A
2009;11;NP;Divorcios;1087.429997348;A
2009;11;NC;Divorcios;6.0;A
2009;14;00;Divorcios;1537.74000012;A
2009;14;1;Divorcios;43.137061616;A
2009;14;2;Divorcios;825.007061676;A
2009;14;3;Divorcios;44.656729861;A
2009;14;4;Divorcios;9.696066351;A
2009;14;NP;Divorcios;615.243080616;A
2009;18;00;Divorcios;1967.070000359;A
2009;18;1;Divorcios;39.85114732;A
2009;18;2;Divorcios;1024.45946181;A
2009;18;3;Divorcios;46.882773615;A
2009;18;4;Divorcios;16.031265375;A
2009;18;NP;Divorcios;839.845352239;A
2009;21;00;Divorcios;1012.380000091;A
2009;21;1;Divorcios;30.072914304;A
2009;21;2;Divorcios;535.576423018;A
2009;21;3;Divorcios;30.201552662;A
2009;21;4;Divorcios;3.540075378;A
2009;21;NP;Divorcios;412.989034729;A
2009;23;00;Divorcios;1122.459999905;A
2009;23;1;Divorcios;32.41053488;A
2009;23;2;Divorcios;590.936424369;A
2009;23;3;Divorcios;47.550941856;A
2009;23;4;Divorcios;4.887156976;A
2009;23;NP;Divorcios;445.674941824;A
2009;23;NC;Divorcios;1.0;A
2009;29;00;Divorcios;3607.690000055;A
2009;29;1;Divorcios;79.251724788;A
2009;29;2;Divorcios;1591.877874996;A
2009;29;3;Divorcios;313.237990722;A
2009;29;4;Divorcios;17.986346784;A
2009;29;NP;Divorcios;1600.336062765;A
2009;29;NC;Divorcios;5.0;A
2009;41;00;Divorcios;4196.949999645;A
2009;41;1;Divorcios;113.87259917;A
2009;41;2;Divorcios;2057.8435236;A
2009;41;3;Divorcios;192.92009799;A
2009;41;4;Divorcios;27.72528081;A
2009;41;NP;Divorcios;1797.588498075;A
2009;41;NC;Divorcios;7.0;A
2008;C01;00;Divorcios;19784.701197956;A
2008;C01;1;Divorcios;388.828631311;A
2008;C01;2;Divorcios;10073.165284924;A
2008;C01;3;Divorcios;1200.722395201;A
2008;C01;4;Divorcios;18.796261838;A
2008;C01;NP;Divorcios;8103.188624682;A
2008;04;00;Divorcios;1459.899390218;A
2008;04;1;Divorcios;36.578757802;A
2008;04;2;Divorcios;647.293084299;A
2008;04;3;Divorcios;122.119630706;A
2008;04;NP;Divorcios;653.907917411;A
2008;11;00;Divorcios;3029.88628849;A
2008;11;1;Divorcios;56.269064692;A
2008;11;2;Divorcios;1569.530768899;A
