D_TEMPORAL_0;D_ESTADO_DATO_0;D_IASS_TIPOVENTAS_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2008-11;40123;61760;3143;Índice Cifra de Negocio;125.461721758;M
2008-12;40123;61753;3143;Índice Cifra de Negocio;125.344617958;M
2008-12;40123;61754;3143;Índice Cifra de Negocio;127.378668682;M
2008-12;40123;61755;3143;Índice Cifra de Negocio;120.524230936;M
2008-12;40123;61756;3143;Índice Cifra de Negocio;101.848059669;M
2008-12;40123;61757;3143;Índice Cifra de Negocio;100.892946635;M
2008-12;40123;61758;3143;Índice Cifra de Negocio;147.08590392;M
2008-12;40123;61759;3143;Índice Cifra de Negocio;164.868307051;M
2008-12;40123;61760;3143;Índice Cifra de Negocio;125.254204602;M
2009-01;40123;61753;3143;Índice Cifra de Negocio;103.88947061;M
2009-01;40123;61754;3143;Índice Cifra de Negocio;105.654203407;M
