TEMPORAL;TERRITORIO;IPC_GRUPOSESPECIALES;INDICATOR;OBS_VALUE;FREQ
2021-11;C01;24;INDICE;113.61;M
2021-11;C01;25;INDICE;114.074;M
2021-11;C01;26;INDICE;120.081;M
2021-11;C01;17;INDICE;110.191;M
2021-11;C01;27;INDICE;109.336;M
2021-11;C01;28;INDICE;104.401;M
2021-11;C01;09;INDICE;110.04;M
2021-11;C01;11;INDICE;106.729;M
2021-11;C01;03;INDICE;108.947;M
2021-11;C01;04;INDICE;129.093;M
2021-11;C01;10;INDICE;104.225;M
2021-11;C01;29;INDICE;108.718;M
2021-12;108;01;INDICE;107.016;M
2021-12;108;02;INDICE;118.859;M
2021-12;108;05;INDICE;117.103;M
2021-12;108;12;INDICE;106.97;M
2021-12;108;08;INDICE;129.609;M
2021-12;108;06;INDICE;100.705;M
2021-12;108;07;INDICE;146.224;M
2021-12;108;13;INDICE;111.85;M
2021-12;108;14;INDICE;111.696;M
2021-12;108;18;INDICE;110.108;M
2021-12;108;15;INDICE;107.368;M
2021-12;108;16;INDICE;106.262;M
2021-12;108;19;INDICE;113.972;M
2021-12;108;20;INDICE;114.35;M
2021-12;108;21;INDICE;112.101;M
2021-12;108;22;INDICE;109.912;M
2021-12;108;23;INDICE;105.995;M
2021-12;108;24;INDICE;116.264;M
2021-12;108;25;INDICE;117.103;M
2021-12;108;26;INDICE;124.027;M
2021-12;108;17;INDICE;111.631;M
2021-12;108;27;INDICE;111.258;M
2021-12;108;28;INDICE;106.48;M
2021-12;108;09;INDICE;110.157;M
2021-12;108;11;INDICE;106.863;M
2021-12;108;03;INDICE;110.831;M
2021-12;108;04;INDICE;133.832;M
2021-12;108;10;INDICE;104.434;M
2021-12;108;29;INDICE;110.178;M
