TEMPORAL;TERRITORIO;ECOICOP;INDICATOR;OBS_VALUE;FREQ
2021-05;29;03;INDICE;111.641;M
2021-05;29;04;INDICE;109.842;M
2021-05;29;05;INDICE;101.785;M
2021-05;29;06;INDICE;103.534;M
2021-05;29;07;INDICE;111.543;M
2021-05;29;08;INDICE;101.605;M
2021-05;29;09;INDICE;101.496;M
2021-05;29;10;INDICE;107.619;M
2021-05;29;11;INDICE;108.808;M
2021-05;29;12;INDICE;105.963;M
2021-05;41;00;INDICE;106.385;M
2021-05;41;01;INDICE;106.863;M
2021-05;41;02;INDICE;102.984;M
2021-05;41;03;INDICE;110.517;M
2021-05;41;04;INDICE;111.061;M
2021-05;41;05;INDICE;100.76;M
2021-05;41;06;INDICE;101.949;M
2021-05;41;07;INDICE;110.651;M
2021-05;41;08;INDICE;98.952;M
2021-05;41;09;INDICE;97.874;M
2021-05;41;10;INDICE;106.314;M
2021-05;41;11;INDICE;107.679;M
2021-05;41;12;INDICE;104.863;M
2021-06;108;00;INDICE;107.32;M
2021-06;108;01;INDICE;108.049;M
2021-06;108;02;INDICE;104.69;M
2021-06;108;03;INDICE;109.848;M
2021-06;108;04;INDICE;111.135;M
2021-06;108;05;INDICE;101.834;M
2021-06;108;06;INDICE;102.971;M
2021-06;108;07;INDICE;112.659;M
2021-06;108;08;INDICE;100.219;M
2021-06;108;09;INDICE;99.695;M
2021-06;108;10;INDICE;103.155;M
2021-06;108;11;INDICE;107.862;M
2021-06;108;12;INDICE;105.785;M
2021-06;C01;00;INDICE;107.18;M
2021-06;C01;01;INDICE;107.404;M
2021-06;C01;02;INDICE;103.223;M
2021-06;C01;03;INDICE;110.068;M
2021-06;C01;04;INDICE;112.887;M
2021-06;C01;05;INDICE;100.487;M
2021-06;C01;06;INDICE;102.704;M
2021-06;C01;07;INDICE;112.459;M
2021-06;C01;08;INDICE;100.347;M
2021-06;C01;09;INDICE;98.818;M
2021-06;C01;10;INDICE;105.667;M
2021-06;C01;11;INDICE;107.663;M
2021-06;C01;12;INDICE;104.395;M
2021-06;04;00;INDICE;107.528;M
2021-06;04;01;INDICE;109.631;M
2021-06;04;02;INDICE;105.097;M
2021-06;04;03;INDICE;110.064;M
2021-06;04;04;INDICE;112.52;M
2021-06;04;05;INDICE;100.073;M
